Arabic,English,Arabic Pl,English Pl,Example
قنابل المولوتوف,molotov cocktails,,,
غسيل الأموال,money-laundering,,,
لجنة متابعة,monitoring committee,,,
الزواج الأحادي,monogamy,,,
الآثار الكبرى,monuments,,,
متقلب المزاج,moody,,,
النمو المعنوي,moral growth,,,يكون ضارا بصحة الطفل أو بنموه البدني أو العقلي أو الروحي أو المعنوي أو الاجتماعي
روح معنوية,morale,,,
أكثر تنافسية,more competitive,,,
أكثر انضباطا,more disciplined,,,
أكثر كياسة,more elegant,,,
أكثر استنارة,more enlightened,,,
أكثر ليونة,more flexible,,,
أكثر وخامة,more unhealthy,,,
التمويل العقاري,mortgage,,,
بأشبع الصور,most horribly,,,تعذيبه *
لوحة أم,motherboard,,,
دراجة نارية,motorcycle,,,
سلسلة جبال,mountain range,سلاسل جبال,mountain ranges,
تسلق الجبال,mountain-climbing,,,
الضغط المتزايد,mounting pressure,,,
المضي قدما,moving forward,,,
السيد الرئيس,Mr. President,,,
سقوط مبارك,Mubarak’s downfall,,,
عهد مبارك,Mubarak’s era,,,
رحيل مبارك,Mubarak’s leaving power,,,
ولاية مبارك,Mubarak’s tenure,,,
متعدد الأطراف,multi-lateral,,,عقوبات متعددة الأطراف
وسائط متعددة,multimedia,,,
انتخابات البلدية,municipal elections,,,
جريمة القتل,murder,جرائم القتل,murders,
مفتول العضلات,muscular,,,
لحم الخروف,mutton,,,
التزامات مشتركة,mutual obligations,,,
فهم مشترك,mutual understanding,,,
عفواً عليك,my apologies,,,
مسيرتي السياسية,my political career,,,هذا تلفيق نابع لوقف *
شغلي الشاغل,my principal preoccupation,,,
حَسَر البَصَر,myopianearsightedness,,,
بواعث غامضة,mysterious motives,,,دوافع مكتومة و*
مربية أطفال,nanny,,,
بورصة نازداك,NASDAQ,,,
منتزه وطني,national park,,,
مواطن أصيل,native-born citizen,,,
كارثة طبيعية,natural disaster,,,
ظاهرة طبيعية,natural phenomenon,ظواهر طبيعية,natural phenomena,
الانتخاب الطبيعي,natural selection,,,
عالم طبيعي,naturalist,,,
بالقُرب من,near,,,
للضرورة أحكام,necessity provides its own rules,,,
مدينة الموتى,necropolis,,,
لجان شعبية,neighborhood watches,,,
التهاب كلوي,nephritis,,,
الوصلات العصبية,nerve endings,,,
غاز الأعصاب,nerve gas,,,
انهيار عصبي,nervous breakdown,,,
أرباح صافية,net profits,,,
علم الأعصاب,neuroscience,,,
حيادية الانتخابات,neutrality of elections,,,
نشرة إعلامية,newsletter,نشرات إعلامية,newsletters,
العام المقبل,next year,,,
سررت بلقائك,nice to meet you,,,
أعشاء، عَشواء,night-blind,,,
بكل تأكيد,no doubt about it,,,
مهمّة مرهقة,no easy task,,,
لا غرو,no wonder,,,
مساعي حميدة,noble endeavors,,,
مساعي نبيلة,noble endeavors,,,
التلوث السمعي,noise pollution,,,
عدم التدخل,non-interference,,,
أهل الذمة,non-muslim communities under muslim rule and protection,,,
غير ربحي,non-profit,,,مؤسسة
عدم الانتشار,non-proliferation,,,
نبذ العنف,nonviolence,,,
تطبيع العلاقات,normalization of relations,,,
متبلد المشاعر,not emotionally intelligent,,,
ليس بالضرورة,not necessarily,,,
فضلاّ عن,not to mention,,,
وثائق مصدقة,notarized documents,,,نرفق طيا جميع (الوثائق المصدقة)
ليس إلاه,nothing else,,,
إخطار بوصول,notification on arrival,,,
تشرين الثاني,November,,,
انبعاثات سامة,noxious emissions,,,
قدرة نووية,nuclear capacity,,,اسرائيل كان بحاجة ماسة إلى
أسرة نووية,nuclear family,,,
الانتشار النووي,nuclear proliferation,,,
الإشعاع النووي,nuclear radiation,,,
مفاعل نووي,nuclear reactor,,,
أسلحة نووية,nuclear weapons,,,
لاغ وباطل,null and void,,,
جوز الطيب,nutmeg,,,
عن تجرد,objectively,,,
تابع للولادة,obstetrical,,,
قاع المحيطات,ocean floor,,,
رذاذ البحر,ocean spray,,,قطرات من رذاذ البحر
تشرين الأول,October,,,
رفيع الشأن,of exalted status,,,
طيب الأخلاق,of good character,,,
ذو شأن,of some importance,,,
سليم البنية,of sound health,,,
مجهول النسب,of unknown parentage,,,
المُعَدات المكتبية,office supplies,,,الأدوات و*
إذن رسمي,official permission,,,
تصريح رسمي,official permission,,,
بيان رسمي,official statement,,,
مصفاة بترول,oil refinery,,,
غابات معمرة,old-growth forests,,,
بذبذبة مقدارها,on a frequency of,,,
بدون قصد,on accident,,,
من جرّاء,on account of the fact that,,,
عن قصد,on purpose,,,
على الهواء,on the air,,,
على العكس,on the contrary,,,
على العكس,on the contrary,,,
على أعتاب,on the cusp of,,,
على حافة,on the edge of,,,على حافة بركة ماء أزرق آسن
بحجة أن,on the grounds that,,,
بذريعة أن,on the grounds that,,,
على المحك,on the line,,,إمور كثيرة توضع
على هامش,on the sidelines of,,,
على مشارف,on the verge of,,,ثورة
على جدران,on the walls,,,
في الميعاد,on time,,,وصل في الميعاد
في عطلة,on vacation,,,
ذات مرة,once,,,
ذات صباح,one morning,,,
أعوَر، عَوراء,one-eyed,عُور,one-eyed people,
نظام التشغيل,operating system,,,
مناهض ل,opposed to,,,
نظام ظالم,oppressive regime,,,
نظام مستبد,oppressive regime,,,
خداع بصري,optical illusion,,,
بحسب زعمهم,or so they claim,,,
زَرع عَضو,organ transplant,,,
عناصر عضوية,organic components,,,
الزراعة العضوية,organic farming,,,
الهيكل التنظيمي,organization structure,,,
سيناريو أصلي,original screenplay,,,
الخزف المزخرف,ornate porcelain,,,
اليهودية الأرثودوكسية,Orthodox Judaism,,,
جائزة أوسكار,Oscar Award,جوائز أوسكار,Oscar Awards,
هشاشة العظام,osteoporosis,,,
حقوقنا المشروعة,our legal rights,,,
مصالحنا الوطنية,our national interests,,,
هدفنا الأقصى,our ultimate goal,,,
خلع مبارك,ousting Mubarak,,,
من غروري,out of pride,,,خفت * ألا يفهم
خارق للعادة,out of the ordinary,,,
مرارا وتكرارا,over and over again,,,
تذليل المشاكل,overcoming problems,,,
تذليل العقبات,overcoming the obstacles,,,
الزراعة المفرطة,overfarming,,,
الرعي الجائر,overgrazing,,,
تضخم سكاني,overpopulation,,,
زيادة سكانية,overpopulation,,,
إشراف عن,oversight on,,,
صورة مبسّطة,oversimplification,,,
إسقاط النظام,overthrowing the regime,,,
الإطاحة بالحكومة,overthrowning the government,,,
أدلة دامغة,overwhelming evidence,,,قال القاضي إن هناك * ضد أنور وأيد الحكم السابق
تصويت كاسح,overwhelming vote,,,
راحة اليد,palm,راحات اليد,palms,
أحد الشعانين,Palm Sunday,,,
هرج ومرج,pandemonium,,,فجأة انفجر هرج ومرج
هلع من,panic at,,,
ورق البردي,papyrus,,,
أشل، شلّاء,paralyzed,شلوء,paralyzed people,
إعادة الصياغة,paraphrasing,,,
وحدة المظلّات,paratroopers,,,
فترة المراقبة,parole,,,
بشكل جزئي,partially,,,
الديمقراطية التشاركية,participatory democracy,,,
مطالب فئوية,partisan demands,,,
طائرة ركاب,passenger plane,,,
تزجية الساعات,passing the hours,,,* التي لا تجد وسيلة أفضل لقضائها
عيد الفصح,Passover,,,
كلمة السر,password,,,
كلمة المرور,password,,,
طويل البال,patient,,,
كفّ حيوان,paw,كفوف حيوان,paws,
الدفع سلفا,payment in advance,,,
حسة الرياضة,PE class,,,
مساعي السلام,peace efforts,,,
يسُد السلام,peace prevails,,,
التعايش السلمي,peaceful coexistence,,,
قاعدة التمثال,pedestal,,,
ركلة جزاء,penalty kick,,,
ركلات الترجيح,penalty shots,,,
طائر بطريق,penguin,طيور البطاريق,penguins,
أرباب المعاشات,pensioners,,,
غضب محبوس,pent-up anger,,,
غضب مكظوم,pent-up anger,,,
نجمة خماسية,pentagram,,,
رذاذ الفلفل,pepper spray,,,
قنبلة تصادمية,percussion grenade,,,
أداء وظيفة,performing a function,,,
الدورة الشهرية,period (menstruation),,,
إقامة دائمة,permanent residence,,,
شخص مقبول,persona grata,,,
الدخل الشخصي,personal income,,,
اضطرابات الشخصية,personality disorders,,,علاج * والامراض النفسية
حيوان أليف,pet,حيوانات أليفة,pets,
حيوان مروض,pet,حياوانات مروضة,pets,
اللياقة البدنية,physical fitness,,,
النباتات العالقة,phytoplankton,,,
شاحنة صغيرة,pickup truck,,,
حبة دواء,pill,حبوب دواء,pills,
مَسح أولي,pilot survey,,,
مَسح إستطلاعي,pilot survey,,,
مَسح تجريبي,pilot survey,,,
حَب الصنوبر,pine nuts,,,
إصبع صغير,pinky finger,,,
الأبيض الناصع,plain white,,,يتنافر لونها * من سمرة
ارتطام الطائرة,plane crash,,,ما سبّب في * ماشرة في الجبل
تصادم طائرات,plane crash,,,
مشاريع للمستقبل,plans for the future,,,
غرس الأشجار,planting trees,,,
جراحة تجميل,plastic surgery,,,
طين اصطناعي,Play Doh,,,
رجاءً لا,please do not,,,
استفتاء عام,plebiscite,,,
نهب الآثار,plundering antiquities,,,
بحر شعري,poetic meter,أبحُر شعرية,poetic meters,
غازات سامة,poison gas,,,
اللبلاب السام,poison oak/ivy,,,
قسوة الشرطة,police brutality,,,
وحشية الشرطة,police brutality,,,
مخفر الشرطة,police station,,,
صانع سياسة,policy maker,صانعو سياسة,policy makers,
صناع القرار,policy makers,,,
سياسة التهدئة,policy of appeasement,,,
سياسة الردع,policy of deterrence,,,
سياسة التقارب,policy of rapprochement,,,
شلل الأطفال,Polio,,,
نشطاء سياسيون,political activists,,,
انسداد سياسي,political obstruction,,,
الاحتقان السياسي,political tension,,,
دقيق اللواقح,pollen,,,
لجنة انتخابية,polling station,,,
مركز اقتراع,polling station,,,
مكافحة التلوث,pollution control,,,
تعدد الأزواج,polyandry,,,
تعدد الزوجات,polygamy,,,
تعدد الزيجات,polygamy,,,
إقبال شعبي,popular demand,,,
تعداد السكان,population census,,,
تجمع سكاني,population cluster,,,
الكثافة السكانية,population density,,,
كثافة السكان,population density,,,
هجرة السكان,population drift,,,
التنبؤ السكاني,population forecast,,,
نمو السكان,population growth,,,
الحراك السكاني,population mobility,,,
انتقالية السكان,population mobility,,,
حركة السكان,population mobility,,,
عمودي وأفقي,portrait and landscape,,,
حيازة مخدّرات,possession of drugs,,,
قابل للتنفيذ,possible,,,
الأجيال القادمة,posterity,,,
سكر ناعم,powdered sugar,,,
خطوط الطاقة,power lines,,,
إمداد الكهرباء,power supply,,,
اتِّباع ديانة,practicing a religion,,,
علامة صلاة,prayer mark,,,
ضربة وقائية,pre-emptive strike,,,
إجراءات احترازية,precautionary measures,,,
إجراءات وقائية,precautionary measures,,,
حيوان مفترس,predator,,,
أحكام تمهيدية,preliminary judgments,,,
سابق لأوانه,premature,,,
القتل العمد,premeditated killing,,,
ضغط على,pressure on,ضغوط على,pressures on,
جائزة مرموقة,prestigious award,,,
رئيس الوزراء,prime minister,,,
صك العملة,printing money,,,
إعلاء شأن,prioritizing,,,الاعتداءالسلام
أسرى الحرب,prisoners of war,,,
منطقة بكر,pristine area,,,
سياسة الخصوصية,privacy policy,,,
مؤيد للثورة,pro-revolution,,,
دافع محتمل,probable cause,,,لديه * ل
حديث مثمر,productive conversation,,,
جيش احترافي,professional army,,,
المؤهلات المهنية,professional qualifications,,,
أداب المهنة,professional standards,,,
ملفّ شخصي,profile,,,
نظرة مستقبلية,prognosis,,,
لغة البرمجة,programming language,,,
النفقات المتوقعة,projected expenses,,,ينبغي أن تتضمن الميزانية * للمنظمة ككل
تعزيز السلام,promoting peace,,,
التمثيل النسبي,proportional representation,,,
ملاحقة مجرميم,prosecute criminals,,,ملاحقة  ومحاسبة مجرمي النظام السابق
اندلعت الاحتجاجات,protests erupted,,,
توفير التعليم,providing education,,,هو مسؤولية مشتركة بين الأسر والدولة
حرب بالوكالة,proxy war,,,
اسم مستعار,pseudonym,,,
اخصائي نفسي,psychologist,,,
عالم نفساني,psychologist,,,
مرض الذهان,psychosis,,,
المزاد العلني,public auction,,,
شخصيات عامة,public figures,,,
مساكن شعبية,public housing,,,
دار نشر,publishing company,,,
محطة ضخ,pumping station,,,
تطهير الفساد,purging corruption,,,
عيد المساخر,Purim,,,
شد وجذب,push and pull,,,
ماء آسن,putrid water,,,
بوابة المعبد,pylon,,,
لجنة رباعية,quadripartite committee,,,
ضبط الجودة,quality control,,,
الحجر الصحي,quarantine,,,
خطوات متحفزة,quick steps,,,مضى مبتعدا (بخطوات) نشيطة (متحفزة)
سريع الخاطر,quick-thinking,,,
الرمال المتحركة,quicksand,,,
بكل وضوح,quite clearly,,,رأينا هذا بكل الوضوح
بوضوح شديد,quite clearly,,,
نِصاب قانوني,quorum,,,
ربيع الأول,Rabia I,,,
ربيع الثاني,Rabia II,,,
داء الكلب,rabies,,,
تغير جذري,radical change,,,
تغير جوهري,radical change,,,
غابة مطيرة,rain forest,غابات مطيرة,rain forests,
قوس قُزَح,rainbow,,,
التربة المدكوكة,rammed earth,,,
الفساد المتغلغل,rampant corruption,,,
توت المعلق,raspberry,,,
تصنيف فيلم,rating,,,"(G, PG)"
مادة خام,raw material,مواد خام,raw materials,Note gender
اللحوم النيئة,raw meat,,,
مستعد للانطلاق,ready to begin,,,
تقدم ملموس,real progress,,,
سلوك متهور,reckless behavior,,,
سائق متهور,reckless driver,,,
طائرة استطلاع,reconnaissance aircraft,,,
نشاطات ترفيهية,recreational activities,,,
إعادة التدوير,recycling,,,
إعادة التدوير,Recycling,,,
إعادة التصنيع,recycling,,,
إعادة توزيع,redeployment,,,
خفف السرعة,reduce speed,,,
تفسيرات مختزلة,reductionist explanations,,,
ترسيخ الأمن,reestablishing security,,,
اليهودية الإصلاحية,Reform Judaism,,,
حركة إصلاحية,reform movement,,,
إعادة تشكيل,reformation,,,
إعادة صياغة,reformulating,,,
نَدَم على,regret for,,,
نادم على,regretful for,,,
إعادة تأهيل,rehabilitation,,,السجناء
تناسخ الأرواح,reincarnation,,,
الخرسانة المسلحة,reinforced concrete,,,
إخلاء سبيل,release,,,
إطلاق سراح,release,,,
مصدر موثوق,reliable source,,,
الاستعانة ب,reliance on,,,
قناعات دينية,religious convictions,,,
أقلية دينية,religious minority,,,
على مضض,reluctantly,,,
تقدّم لافت,remarkable progress,,,
كلمة الرئيس,remarks by the President,,,
مناطق نائية,remote areas,,,العمل في *
الطاقه المتجددة,renewable energy,,,
ذائع الصِيت,renowned,,,
دولة ريعية,rentier state,,,
غضب مكتوم,repressed anger,,,
طلب بالاستئناف,request for appeal,,,
الاستياء من,resentment of,,,مشاعر الـ* هي العقبة الكبرى في طريق سعادتنا
إعادة التوطين,resettlement,,,
تعديل وزاري,reshuffling the cabinet,,,
استعادة الأمن,restoring safety,,,
ضبط النفس,restraint,,,
قيود على,restrictions on,,,
إعادة الهيكلة,restructuring,,,
سيرة ذاتية,resumé,سير ذاتية,resumés,
ضمير عائد,resumptive pronoun,,,
البيع بالتجزئة,retail,,,
شبكية العين,retina,,,
بأثر رجعي,retroactively,,,صرف مبلغا *
مكافأة الفضيلة,rewarding virtue,,,طريقة ل* المدنية الاستثنائية
وحيد القرن,rhino,,,
قَفَص صدري,rib cage,,,
انتخابات مزورة,rigged elections,,,
إصبع خاتم,ring finger,,,
مكافحة الشغب,riot control,,,
أعمال شغب,rioting,,,
فاكحة ناضجة,ripe fruit,,,
تحديد المخاطر,risk assessment,,,
من المجازفة,risky,,,
رواسب نهرية,river-borne sediment,,,
قاع النهر,riverbed,قاع الأنهار,riverbeds,
سرقة بالاكراه,robbery,,,
أسعار زهيدة,rock-bottom prices,,,
قاذف صاروخي,rocket launcher,قاذفات صاروخية,rocket launchers,
بحر هائج,rough seas,,,
ذهابا وإيابا,roundtrip,,,
مقبرة ملكية,royal tomb,,,
الرصاص المطاطي,rubber bullets,,,
مقذوفات مطاطية,rubber bullets,,,
انتخابات الإعادة,run-off election,,,
مركز الوصيف,runner-up,,,
على النفاد,running out,,,أوشكت البطارية على النفاد
مياه جارية,running water,,,
مدرج المطار,runway,,,
شيء تخيلي,s.th. illusory,,,هوية تخيلية
انتهاك الحُرمة,sacrilege,,,
بمأمن من,safe from,,,
صون حقوقهم,safeguarding their rights,,,
خطاة وقديسون,saints and sinners,,,
السلفية الجهادية,Salafist Jihadism,,,
مندوب مبيعات,salesman,,,
قباب ملحية,salt domes,,,
المياه المالحة,salt water,,,
الزواج المثلي,same-sex marriage,,,
قلاع رملية,sand castles,,,
كثيب رملي,sand dune,كثبان رملية,sand dunes,
سهول رملية,sand flats,,,
عاصفة رملية,sand storm,,,
سليم العقل,sane,,,
تابوت حَجَري,sarcophagus,,,
قمر اصطناعي,satellite,,,أقمار اصطناعية
الدول التابعة,satellite states,,,
بيتزا بالنقانق,sausage pizza,,,
ترشيد الكهرباء,saving energy,,,رفع الوعي بأهمية *
حساب توفير,savings account,,,
ماسح ضوئي,scanner,,,
معلومات ضئيلة,scanty information,,,
كبش فِداء,scapegoat,,,
إجراءات ترويعية,scare tactics,,,
الحُمى القرمزية,scarlet fever,,,
الخيال العلمي,science fiction,,,فيلم الخيال العلمي
خيال علمي,science fiction,,,
سيف ممشوق,scimitar,,,
ركلة مقصية,scissor kick,,,اختم الهاتريك بهدف إعجازي من *
الأرض المحروقة,scorched earth,,,
شريط لَصْق,Scotch tape,,,
بيض مضروب,scrambled eggs,,,
فن النحت,sculpture,,,
قاع البحر,sea bed,,,
سلحفاة البحر,sea turtle,سلاحف البحر,sea turtles,
قنفذ البحر,sea urchin,,,
حصان البحر,seahorse,,,
عجل البحر,seal,,,
محرك البحث,search engine,,,
دُوار البحر,seasickness,,,
محاصيل موسمية,seasonal crops,,,
أمين عام,secretary-general,,,
فتنة طائفية,sectarian discord,,,
كاميرا المراقبة,security camera,,,
جهاز الأمن,security forces,,,
حارس أمني,security guard,حراس الأمن,security guards,
فراغ أمني,security vacuum,,,
صخور رسوبية,sedimentary rocks,,,
اغتنام الفرصة,seize the opportunity,,,
اعتصاب السلطة,seizing power,,,
عامل لحسابه,self employed,,,
الاكتفاء الذاتي,self sufficiency,,,
الاكتفاء الذاتي,self-sufficiency,,,
السائل المِنوي,semen,,,
محكوم ب,sentenced to,,,
الافتراق عن,separation from,,,الافتراق عن شركاء حياتهم
عناصر انفصالية,separatists,,,
تحديات جمة,serious challenges,,,
صعوبات جمّة,serious difficulties,,,
تهديدات خطيرة,serious threats,,,
انتهاكات جسيمة,serious violations,,,
مشرشر الأطراف,serrated,,,* كورقة الذرة
جبر العظام,setting bones,,,
وحدة استيطانية,settlement unit,,,
الاكتفاء ب,settling for,,,
تسوية الأزمة,settling the crisis,,,
قيود شديدة,severe restrictions,,,
قيود صارمة,severe restrictions,,,
انبوبة الصرف,sewer,,,
الاتّجار بالجنس,sex trafficking,,,
التمييز الجنسي,sexism,,,
التحرّش الجنسي,sexual harassment,,,
البحار الضحلة,Shallow seas,,,
مياه ضحلة,shallow water,,,
مدينة الصفيح,shanty town,,,
خلاف حادّ,sharp disagreement,,,
سليط اللسان,sharp-tongued,,,
صابون حلاقة,shaving cream,,,
هي تخونني,she is cheating on me,,,
الحزام الناري,shingles,,,
حطام سفينة,shipwreck,,,
قوات الصاعقة,shock troops,,,
تعاطي الهيروين,shooting heroine,,,
الدبلوماسية المكوكية,shuttle diplomacy,,,
تأثير جانبي,side effect,تأثيرات جانبية,side effects,
خط التماس,sideline,,,
ذو بال,significant,,,نتائج ذات باللا يعني شيئا ذا بال.
علامات البلوغ,signs of puberty,,,
حل الصمت,silence prevailed,,,
أوجه التشابه,similarities,,,
أوجه الشبه,similarities,,,
بكل بساطة,simply,,,
وعود جدي,sincere promise,,,
ودمتم للمخلص,sincerely yours,,,
شخص خاطىء,sinner,خطاة,sinners,
جيوب أنفية,sinuses,,,
جالس قرفصاء,sitting cross-legged,,,
سَكتة دماغية,skull fracture,,,
عمارة شاهقة,sky scraper,,,بناء (عمارات شاهقة) بدلا منها
ناطحة السحاب,skyscraper,,,
تجارة الرقيق,slave trade,,,
تجارة العبيد,slave trade,,,
التصميم الانسيابي,sleek design,‏,,سيارة ذات *
الأميرة النائمة,Sleeping Beauty,,,
التحامة هوائية,slide tackle,,,
دب كسلان,sloth,,,
صغار الفلاحين,small farmers,,,
الأمعاء الدقيقة,small intestine,,,
مستدَقّ الظهر,small of the back,,,
قنبلة ذكية,smart bomb,,,
حملات التشهير,smear campaigns,,,
وجه بشوش,smiling face,,,
ضباب دخاني,smog,,,
قنبلة دخانية,smoke bomb,,,
خرطوش دخان,smoke cartridges,,,
بشرة ملساء,smooth skin,,,
ملمس ناعم,smoothe texture,,,
أكثر سلاسة,smoother,,,الأمر يكون
لسعة ثعبان,snakebite,,,
بياض الثلج,Snow White,,,
نُدفة الثلج,snowflake,,,
المناسبات الاجتماعية,social events,,,
العدالة الإجتماعية,social justice,,,
حراك إجتماعي,social mobility,,,
الضمان الاجتماعي,social security,,,
الضمان الاجتماعي,social security,,,
التدرج الإجتماعي,social stratification,,,
التدرج الطبقي,social stratification,,,
اخصائي اجتماعى,Social Worker,,,
اخصائي اجتماعي,social worker,,,
مشرف اجتماعي,social worker,,,
التكييف الإجتماعى,socialization,,,
تدهور التربة,soil degradation,,,
إصلاح التربة,soil restoration,,,
المركب الشمسي,solar boat,,,
إخمَص القدم,sole,,,
تضامن مع,solidarity with,,,
حبس انفراضي,solitary confinement,,,
تاجر بالدين,someone who exploits religion for political purposes,تجّار بالدين,people who exploit religion for political purposes,
حافظ القرآن,someone who has memorized the Quran,حفظة القرآن,people who have memorized the Quran,
عما قريب,soon,,,
فرز القمامة,sorting waste,,,
مؤثرات صوتية,sound effects,,,
إجراءات سليمة,sound measures,,,
جنوب السودان,South Sudan,,,
إشعال الفتنة,sowing discord,,,
المكان والزمان,space and time,,,
مركبة فضائية,spaceship,,,
مكوك فضائي,spaceshuttle,,,
قطع غيار,spare parts,,,المكنة بحالة وسط وتحتاج ل*.
عصفور دوري,sparrow,,,
مؤثرات تقنية,special effects,,,
الوقود المستنفد,spent fuel,,,
الحيوانات المنوية,sperm,,,
شبكة عنكبوت,spiderweb,,,
العمود الشوكي,spine,,,
العمود الفقري,spine,,,
جماعة منشقّة,splinter group,,,
متحدث باسم,spokesman for,,,
ناطق باسم,spokesman for,,,
بشكل عفوي,spontaneously,,,
واضع اليد,squatter,,,
الجهات المعنية,Stakeholders,,,
مستوى المعيشة,standard of living,,,لرفع مستوى معيشتهم
نجمة داوود,star of David,,,
نجمة البحر,starfish,,,
بطولة شخص,starring s.o.,,,
الموت جوعاً,starvation,,,
حالة الطوارئ,state of emergency,,,رفع، أنهى
رجل دولة,statesman,,,
حنكة دبلوماسية,statesmanship,,,
تقدير إحصائى,statistical estimation,,,
مؤيدون مخلصون,staunch supporters,,,
لجنة السياسات,steering committee,,,
لجنة تسييرية,steering committee,,,
حقن الدماء,stemming the bloodshed,,,
زوج أم,stepfather,,,
زوجة الأب,stepmother,,,
مقاومة عنيفة,stiff resistance,,,
الوصمة الاجتماعية,stigma,,,آثار *
تأجيج مشاعر,stirring the pasions of,,,(تأجيج مشاعر) المعارضة
سوق الأسهم,stock market,أسواق الأسهم,stock markets,
الرشق بالحجارة,stone throwing / pelting,,,
شعر ناعم,straight hair,,,
جلطة دماغية,stroke,,,
خلاف شرس,strong disagreement,,,
شاي ثقيل,strong tea,,,
روابط قوية,strong ties,,,
أنف مزكَم,stuffy nose,,,
غاز مخدر,stupefying gas,,,
أحمق المأفون,stupid and foolish,,,
تعاطي المخدرات,substance abuse,,,
الإجمالى الفرعى,subtotal,,,
اختفاء مفاجئ,sudden disappearance,,,
عملية انتحارية,suicide bombing,,,
حُرق شمس,sunburn,,,
أشِعّة الشمس,sunlight,,,
السنة والشيعة,sunnis and shiites,,,
بطل خارق,superhero,,,
عقدة الاستعلاء,superiority complex,,,
قمع الإحتجاجات,suppressing protests,,,
عينة بحثية,survey sample,,,أفراد العينة
تعليق المساعدات,suspending aid,,,
تعليق التخصيب,suspending enrichment,,,
التنمية المستدامة,sustainable development,,,
جهد دءوب,sustained effort,,,
جهد متواصل,sustained effort,,,
التهام كبسولات,swallowing capsuls,,,
مصنع استغلالي,sweatshop,,,
تحقيقات موسعة,sweeping investigations,,,في قضايا الفساد
أغلبية كاسحة,sweeping majority,,,
أبو سيف,swordfish,,,
تحليل النظم,system analysis,,,
عمل منهجي,systematic work,,,
قائمة المحتويات,table of contents,,,
غطاء الطاولة,tablecloth,,,
حاسب لوحي,tablet,حواسب لوحية,tablets,
اعتن بنفسك,take care,,,
أخذه كضمان,take it for granted,,,
الأخذ بالثأر,taking revenge,,,
تعاطي المنشطات,taking steroids,,,طرد من كأس العالم لتهعاطيه المنشطات
تناوب على,taking turns with,,,كانوا يتناوبون على الماء
تنصّت على,tapping,,,
شريحة الضرائب,tax bracket,,,
العمل الجماعي,teamwork,,,
خلل تقني,technical difficulties,,,
عطل فني,technical difficulties,,,
حكومة تكنوقراطية,technocratic government,,,
نتعرّف على,tell us a little bit about,,,
درجة الحرارة,temperature,,,
إقامة مؤقتة,temporary residence,,,
لحمة طرية,tender meat,,,
تلبية احتياجاتهم,tending to their needs,,,أثناء العلاج
اتفاق مبدئي,tentative agreement,,,
شروط الخدمة,terms of service,,,
أزمة خانقة,terrible crisis,,,
صمت رهيب,terrible silence,,,
ترويع المواطنين,terrorizing citizens,,,
بفضل جهودنا,thanks to our efforts,,,
بهذه السرعة,that fast,,,لسنا بستعدين لأن نحرك
ومن هنا,that is why,,,
وصلت الفكرة,that makes total sense,,,
هذا هُراء,that's nonsense,,,
الجنس الناعم,"the ""fair sex""",,,
الجنس اللطيف,"the ""fairer sex""",,,
الجنس الخشن,"the ""strong sex""",,,
الحروف النورانية,the 16 independent letters at the begging of some quranic suras,,,
غياب الديمقراطية,the absence of democracy,,,
الرصيد المتراكم,the accumulated balance,,,
المرسل إليه,the addressee,,,
الدار الآخرة,the afterlife,,,
الاتفاق المنشود,the agreement we seek,,,
القوات الجوية,the air force,,,
الحروف الهجائية,the alphabet,,,
حوض الأمازون,the Amazon Basin,,,
الرهينة الأمريكي,the American hostage,,,
الينانيون القدماء,the Ancient Greeks,,,
عيد البشرة,the Annunciation,,,
المسيح الدجال,the Antichrist,,,
لجنة التظلمات,the appeals committee,,,
الجهات المختصة,the appropriate authorities,,,
سباق التسلح,the arms-race,,,
المحيط الأطلنطي,the Atlantic Ocean,,,
الغلاف الجوي,the atmosphere,,,
النائب العام,the attorney general,,,
الاعتدال الخريفي,the autumnal equinox,,,
جليسة الأطفال,the babysitter,,,
وعد بلفور,The Balfour Declaration,,,
صندوق الاقتراع,the ballot box,,,
ميدان المعركة,the battlefield,,,
افتتاح الجلسة,the beginning of the meeting,,,
الخيار الأمثل,the best option,,,
الكتاب المقدس,the Bible,,,
الغلاف الحيوي,the biosphere,,,
غرّد العصفور,the bird chirped,,,
الحقيقة المُرّة,the bitter truth,,,
المجلس التنفيذي,the board of directors,,,
مجلس الإدارة,the board of directors,,,
الجسم السياسي,the body politic,,,
سِفر التكوين,The Book of Genesis,,,
عجز الميزانية,the budget deficit,,,
ملابسات الحادث,the causes of the accident,,,تم تحري *.
القشرة الدماغية,The cerebral cortex,,,
الجهاز الدوري,the circulatory system,,,
ملابسات الواقعة,The circumstances of the incident,,,
العالم المتحضر,the civilized world,,,
مساعد الطيار,the co-pilot,,,
الخط الساحلي,the coastline,,,
الحرب الباردة,the Cold War,,,
الناس العاديون,the common people,,,
تكلفة المعيشة,the cost of living,,,
سير الأحداث,the course of events,,,
مسار الأحداث,the course of events,,,
تفاقمت الأزمة,the crisis deepened,,,
وليّ العهد,the crown prince,,,
الظرف الراهن,the current circumstance,,,
بعد الغد,the day after tomorrow,,,
يوم الحَشر,the day of the reckoning,,,
البحر الميّت,the Dead Sea,,,
حكم الإعدام,the death penalty,,,
أزمة الديون,the debt crisis,,,
القرار ب,the decision to,,,الأعتراض على (قرار ب)إلغاء مواد التحميل
