Arabic,English,Arabic Pl,English Pl,Example
مثل هذا الجهد,such an effort,,,
مثل هذا الكلام تَنقُصه الإثباتات والبراهين,such claims are baseless and untrue,,,
واقي من الشمس,sunscreen,,,
مشتبه في ضلوعه في,suspected for,,,
قطع المساعدات عن مصر,suspending aid to Egypt,,,
وقف/ تعليق العلاقات الدبلوماسية,suspension of diplomatic relations,,,
علم تركيب الجملة,syntax,,,
خوض المخاطر المحسوبة,taking risks,,,
الديك الفصيح من البيضة يصيح,talent shows early,,,
مسدس الصعق الكهربائي,taser,,,
الهروب من الضرائب,tax evasion,,,
الغاز المسيل للدموع,tear gas,,,
قنابل الغاز المسيل للدموع,tear gas canisters,,,
مع جزيل الشكر,thank you very much,,,
قد يعني هذا مشكلة,that could be a problem,,,
الأمر لا يستدعي ل,that doesn't call for,,,
هذا لا يعني ...بل العكس من ذلك,that doesn't mean ... but rather,,,
هذا لا يعني بالضرورة,that doesn't necessarily mean,,,
قد جاء ذلك بناء على عدد من العوامل,that happened for a number or reasons,,,
لم يتحقق بعد,that has yet to be achieved,,,تغيير -
السبب في ذلك يعود إلى,that is the case because,,,
من هذا النوع,that kind of,,,
هذا لا يعنيني في شيء,that means nothing to me,,,
عدم إقصاء أي طرف,that no one would be left out,,,
هنا يبرُز السؤال,that raises the question of,,,
ما حدث من,that took place,,,- عمليات إرهابية- تجاوزات وانتهاكات
وهذا خير لكم,that would be the best for you,,,
يعود هذا السبب إلى,that's because,,,
هذا تماما ما قال,that's exactly what he said,,,
هذا لا يجديك نفعا الآن,that's no use to you now,,,
ليس حاصرا على,that's not unique to,,,
صاحب الواحد وعشرين سنة,the 21 year old,,,
القرن الحادي والعشرين,the 21st century,,,
السبع خطايا المميتة,the 7 deadly sins,,,
السبع خطايا المهلكة,the 7 deadly sins,,,
درجة الحرارة المحيطة,the ambient temperature,,,
المحاولات باتت بالفشل,the attempts failed,,,
خطة الإنقاذ المالي,the Bailout,,,
اختل توازن الطائرة,the balance of the plane was upset,,,
الأكثر حجما في العالم,the biggest in the world,,,
ضرب الحبيب زبيب,the blows of a lover are as blessings,,,
وزر من الأوزار,the brunt of the burden,,,
الجهاز القلبي الوعائي,the cardiovascular system,,,
القضية قيد التداول,the case is under deliberation,,,
المتسبب في الحادث,the cause of  the accident,,,
التحديات التي نواجهها اليوم,the challenges we face today,,,
ميثاق الأمم المتحدة,the charter of the UN,,,
ميثاق الأمم المتحدة,The Charter of the United Nations,,,
الحاجة السريرية ل,the clinical need for,,,بسعة سريرية قدرها (450) سريراً
اللجنة المكلّفة ب,the commitee in charge of,,,
هناك ثقافة تسود الشركة بـ,the company has a culture of,,,
المؤتمر المزمع عقده,the conference planned for,,,
ساد إجماع على أن,the consensus was that,,,لكن * العقوبة قاسية
النتائج المترتبة على,the consequences of,,,
اتفاقية حظر التعذيب,the Convention on the Prohibition of Torture,,,
تكاليف الغذاء والتنقّل,the cost of food and transportation,,,
الدول المصادقة على الاتفاق,the countries that have ratified the convention,,,
الدول الموقعة على الاتفاق,the countries that have signed the convention,,,
يرجع الفضل في هذا إلى,the credit here goes to,,,
شبه جزيرة القِرم,the Crimea,,,
يوم أول أمس,the day before yesterday,,,
سياسة الأمر الواقع,the de facto policy,,,
عدد السكان الفعلي,the de facto population,,,
القرار جاء في ظل,the decision came in the wake of,,,
القرار يعود إلى شخص,the decision is s.o.'s,,,أنا لست متأكدة أن (القرار يعود إليّ)
أراضي طرح النهر,the delta,,,
وزارة الأمن الداخلي,the Department of Homeland Security,,,
وزارة الخارجية الأمريكية,the Department of State,,,
الشيطان يكمُن في التفاصيل,the devil is in the details,,,
لقد سبق السيف العذل,the die is cast,,,
الحوار انطلق بالتأخير,the discussion began late,,,
مؤشر داو جونز الصناعي,the Dow Jones Industrial Average,,,
جهاز المخابارات العامة المصرية,the egyptian general intelligence service  (GIS),,,
انتهاء فترة الرئاسة,the end of his term in office,,,
جهاز الغدة الصماء,the endocrine system,,,
نظام الغدد الصماء,the endocrine system,,,
الدوري الإنجليزي الممتاز,the English Premier League,,,
امتلع العالم وبأسره بالأمل,the entire world was filled with hope,,,
الاستخدام المفرط للقوة,the excessive use of force,,,
تدور أحداث الفيلم حول,The film is about,,,
الفيلم سينال إعجاب الجمهور,The film will win audiences' approval,,,
النهج الراسخ والثابت ل,the firm and consistent approach of,,,دولة الكويت
الشوط الأول من,the first half of,,,
الأول من نوعه,the first of its kind,,,
الدول دائمة العضوية بمجلس الامن,The five permanent members of the UN Security Council,,,
أركان الإسلام الخمسة,the five pillars of islam,,,
وزارة الخارجية البريطانية,the Foreign and Commonwealth Office (FCO),,,
الجمعية الوطنية الفرنسية,The French National Assembly,,,
مؤشر العبودية العالمي,the Global Slavery Index,,,
استجابت الحكومة ل,the government has responded to,,,
أكبر خطر تواجهه المنطقة,the greatest danger to the region,,,
ظاهرة الاحتبار الحراري,the greenhouse effect,,,
موسوعة غينيس للأرقام القياسية,the Guiness Book of World Records,,,
شهر رمضان المعظَّم,the holy month of Ramadan,,,
وزارة الداخلية البريطانية,the Home Office,,,
الأمل يتلاشى دون رجع,the hope is fading away irrevocably,,,
طيف إصدار الهيدروجين,the hydrogen emission spectrum,,,
الذي لا يكِل ولا يمِل,the indefatigable,,,
عصر تدفق المعلومات,the Information Age,,,
الوكالة الدولية للطاقة الذرية,The International Atomic Energy Agency (IAEA),,,
الاتفاقية الدولية لالاختفاء القسري,the International Convention for Enforced Disappearance,,,
منظمة العمل الدولية,The International Labour Organization (ILO),,,
تنظيم الدولة الإسلامية في العراق والشام,The Islamic State of Iraq and Syria,,,
تيار الإسلام السياسي,the Islamist political movement,,,
العقود الثلاثة المنصرمة,the last three decades,,,
جامعة الدول العربية,the League of Arab States,,,
الدروس المستفادة من,the lessons learned from,,,* المبادرات التي تم تنفيذها مؤخرا
إزهاق أرواح الأبرياء,the loss of innocent life,,,
إزهاق أرواح الشهداء,the loss of life,,,
أبرز النقاط التي وردت في البيان,the main points of the statement,,,
المبلغ الذي يتقاضونه,the money they make,,,
العِبرة من القصة,the moral of the story,,,العظة والعبرة
الحزب الوطني الديمقراطي,the national democratic party (ndp),,,
الأنباء الواردة من,the news from,,,المخيم
نصف الكرة الشمالي,the northern hemisphere,,,
البروطوقول الإختياري الملقح ب,the Optional Protocol to,,,ﺑﺈﺗﻔﺎﻗﻴﺔ ﺣﻈﺮ اﻟﺘﻌﺬﻳﺐ
مدى التأثير الذي أحدثته المنظمة,the organization's impact,,,يساعدنا في تقييم
الشعب يقف خلفه,the people support him,,,* بشكل قوي.
حق الشعب في تقرير مصيره,the people's right to self determination,,,
مرتكب هذه الجريمة,the perpetrator of this crime,,,
الصور التي أفوّتها,the photos I'm missing,,,
المكان كان غاصا بالخلق,the place was packed,,,
التجارة باسم الدين,the politicization of religion,,,
القدرة على تقديم العون,the power to help,,,
الخلاف الحاصل أصلا,the present dispute,,,
المشاكل التي تسود بين,the prevailing issues between,,,* أرجاء الدول العربية
ما سبق من ال,the previous,,,ما سبق من الإجراءات
سعره يصل إلى,The price is,,,سعر سيارة تامر حسني الجديدة يصل إلى 240 ألف دولار أمريكي
يسير تنفيذ المشروع قدما,the project is going forward,,,
حق الجمهور في المعرفة,The public's right to information,,,
آيات الله البينات,the Qur’an,,,
المشكلة الحقيقية تتمثل في,the real problem is,,,* انحراف سلوك الإنسان
القرارات ذات الصلة,the relevant resolutions,,,
سائر أنحاء العالم,the rest of the world,,,
حق المحاكمة العادلة,the right to a fair trial,,,
الحق في الافتاء,the right to expression one's opinion,,,
حقّ تقرير المصير,the right to self determination,,,
العقوبات كانت هائلة,the roadblocks have been great,,,
الذي تلكم نفسه من قبل,the same man who spoke earlier,,,قال
ثاني كبرى مدن البلاد,the second largest city in the country,,,
من سمَّوا أنفسهم بالثوار,the self-proclaimed revolutionaries,,,
الأفق في شنغهاي,the Shanghai skyline,,,
تبلغ سرعة السفينة 30 عقدة,the ship has a top speed of 30 knots,,,
تفاقُم الأزمة يعود إلى أسباب عدة منها,"the situation got worse for a number of reasons, including",,,
جرى استعراض الوضع,the situation was reviewed,,,
ما يسمّى بـ,the so called,,,
ما يعرف بالدولة الإسلامية,the so-called Islamic State,,,
الموازنة العامة للدولة,the state budget,,,
الهيئة العامة للاستعلامات,the State Information Service,,,
الدول الأطراف في,the states parties to,,,هذه الاتفاقية
سوق الأوراق المالية,the stock market,,,
أقوى ما يمكن,the strongest,,,
المجلس الأعلى للقوات المسلحة,the supreme council of the armed forces,,,
الاستخدام المحتمل للأسحلة الكميائية,the suspected use of chemical weapons,,,
الساعة تشير إلى,the time is,,,الساعة تشير إلى السابعوالدقيقة العشرين
المستفيدة الأوى من المساعدات الخارجية,The top recipient of foreign aid,,,إسرائيل، المستفيدة الأولى في العالم من المساعدات الأجنبية الأميركية
أجرى الطرفان محادثات مطولة,the two sides held lengthy talks.,,,
اتحاد الجمهوريات الاشتراكية السوفياتية,The USSR,,,
الغالبية العظمى ل,the vast majority of,,,
وجود النظام بحدّ ذاته,the very existence of the regime,,,
الزيارة تأتي على خلفية جهودهم ل,the visit comes in light of efforts to,,,
الحرب على الإرهاب,the war on terror,,,
السبيل للسير قُدُما,the way forward,,,
الرغبة في الحياة,the will to live,,,
العالم المحيط بنا,the world around us,,,
لا يوجد عدل في الدنيا ولا اعتدال,the world is not a just place,,,
آفاق المستقبل الخاصة بهم,their future prospects,,,
دولة خاضعة لحكومة دينية,theocracy,,,
ما من كلمات أخرى تصفه,there are no other words to describe it,,,
أين هذا من ذلك,there is no comparison,,,
لا راحة ل,there is no rest for,,,
لا غنى عن,there is no substitute for,,,
كثرة الشد تَرخى,there is such thing as too much of a good thing,,,
لم تقع خسائر في الأرواح,there were no fatalities,,,
المسافة طويلة ل,there's a long road ahead before,,,لوصول المرأة إلى ما تريد
لكل مقام مقال,there's a right time for everything,,,
هذا لا ريب فيه,there's no doubt about that,,,
لم يعد هناك مجال للشك,there's no more room for doubt,,,
ما من نموذج واحد,there's no one model,,,
لم يعد هناك ما يبرّر الانقسام,there's no reason to be divided,,,
ليس له مثيل,There's nothing else like it.,,,
لم يعد هناك ما يمكن الحديث عنه,there's nothing left to discuss,,,
مما لا ريب فيه,there’s no doubt,,,
بناء على ذلك,therefore,,,
يطرحون جدلا أن,they argue that,,,
يقولون ما لا يفعلون,They do not practice what they preach,,,
لا يرونه من هذا المنظور,they don't see it that way,,,
يقولون ذلك باستمرار,they keep saying that,,,
خرّبوا له بيته,they ruined him,,,
صوتوا لدخول المرشح إلى,they voted the candidate into,,,
سلك كل منهم سبيله,they went their separate ways,,,مخلوقات سارا شطرا من الطريق معا، ثم (سلك) كل منهما سبيله.
وُجهت إليهم انتقادات ل,they were criticized for,,,
من حدة الفرح,they were so happy,,,لم يأكل أحد *
فاز عليه بثلاثية نظيفة.,They won 3 to nothing.,,,
لقد عادت الحالة إلى طبيعتها,things are back to normal,,,
على أحسن ما يرام,things could not be better,,,
الأمور لن تعود إلى ما كانت عليها,things will never be the same,,,
فكّر بينك وبين نفسك,think to yourself,,,
في عصر هذا اليوم,this afternoon,,,
وافيناكم بموجز للأخبار,this has been a news summary,,,
هذا كان وسيظل دائما,this has been and will always be,,,هدف بلادي
هذا من أسخف ما يكون,this is absurd,,,
هذا كله في خبر كان,this is all a thing of the past,,,
هذا الرجل بعينه,this very man,,,
هذه اللحظة بعينها,this very moment,,,
حتى أيامنا هذه,thusfar,,,
نظام الانتخاب بالقوائم,ticket election system,,,
المرة تلوا الأخرى,time and time again,,,
الوقت كالسيف: إن لم تقطعه قطعك,time is money,,,
الوقت ينفَد أمام,time is running out for,,,
سبحان مغير الأحوال,times they are a-changing,,,
بلا كلل ولا ملل,tirelessly,,,سنواصل السعي
إلى حد كبير,to a great extent,,,
امتنع عن التصويت,to abstain from voting,,,
انضم إلى معاهدة,to accede to a treaty,,,
تبنّى خطاب بوش,to adopt Bush's rhetoric,,,
اعتمد أموالاً ل,to allocate funds for,,,
عيّن شخصا ل,to appoint s.o. as,,,
استدعى شخصا إلى المحكمة,to arraign s.o.,,,* للإجابة عن تهمة
ألقى القبض على,to arrest,,,
اعتقل بتهمة ال,to arrest for,,,
تأكد من اكتمال النصاب,to ascertain the quorum,,,
توجه بسؤال ل,to ask someone a question,,,
كلّف شخصاً ب,"to assign, to charge with",,,
تخفيض حد شيء,to assuage s.th.,,,التوترالإعداءالخلافات
انتحل اسما مختلفا,to assume a different name,,,(انتحلت اسما مختلفا) مع كل منهن؟
تخلى عن مسؤوليته,to avoid one's responsibilities,,,
مثّل خطا أحمر,to be a red line,,,
يأتي ضد القوانين,to be against the law,,,الثورات دائما
مثّل شريحة أساسية,to be an important part,,,
كان في سبات,to be asleep,,,
بات مقطوعاً من,to be cut off from,,,
شكل مصدر رزقه,to be his livelihood,,,
لكي أُصدِقك القول,to be honest with you,,,
كان قراره مرتعش,to be indecisve,,,
تلقى دعوة ل,to be invited to,,,
وضع تحت مراقبة الشرطة,to be kept under police surveillance,,,
تعرض على سوء التعامل,to be mistreated,,,
كان في الجوار,to be nearby,,,
عانى من اضطرابات طيف التوحد,to be on the Autism spectrum,,,الأطفال الذين (يعانون من اضطرابات طيف التوحد)
تعرّض على الاضطهاد,to be persecuted,,,
تمتّع بوضع سياسي جيّد,to be politically stable,,,
جاء مسلحا ب,to be prepared to,,,الاعتدال
وُضع في حالة تأهب,to be put on alert,,,
كان على قناعة تامة,to be quite confident that,,,
كان على صواب,to be right,,,
تعرض على قصف من,to be shelled by,,,
تعرّض لإطلاق الرصاص,to be shot,,,
تحلّى بالقوة الكافية لـ,to be strong enough to,,,هل تتحلين بالقوة الكافية للقيام بذلك؟
حقّق نجاحاً وثراءً,to be successful,,,
انبثق من عنق ال,to be the fruit of,,,ثورة * المعاناة
الوصول إلى عتبة الشهرة,to become famous,,,
أصبح بلا مأوى,to become homeless,,,
انقلب إلى أعمال عنف,to become violent,,,مظاهرات انقلبت إلى أعمال عنف
بادئ ذي بدء,to begin with,,,
ألقى اللوم على,to blame s.o.,,,
قطع الطريق أمام,to block the road for,,,قطع الطريق أمام حركة المرور
قطع العلاقات الدبلوماسية,to break off diplomatic relations,,,
خرق حظر التجوال,to break the curfew,,,
أطلق اسماً على,to call (s.th.),,,
دلل شخصا باسم,to call s.o. a name,,,كانت تدلله بهذا الاسم
قام بحملة انتخابية,to campaign,,,
خاض المعركة الانتخابية,to campaign fiercely,,,
وضع سقفاً ل,to cap,,,
يرفع راية التغيير,to carry the banner of change,,,
ألقى بظل قاتم على,to cast a shadow over,,,
احتفل بالذكرى الخمسين ل,to celebrate the 50th anniversary of,,,
لتخليد ذكرى الثورة,to celebrate the revolution,,,
وقف النِدّ بالند مع,to challenge,,,
طعن في نتيجة انتخابات,to challenge the result of an election,,,
ردد هتافات مناهضة للحكومة,to chant anti-government slogans,,,
ناصر مجال الفنون,to chapion the arts,,,
شابه إلى حد بعيد,to closely resemble,,,
احتلّ المركز الثاني,to come in second place,,,
مسك بزمام الحكم,to come to power,,,
مسك بمقاليد الحكم,to come to power,,,
واصل الحديث عن,to continue discussing,,,
تستر على الحقيقة,to cover up the truth,,,
فتح الحوار بين,to create dialogue between,,,
تجاوز خطا أحمر,to cross a red line,,,
حد من زيادة شيء,to curb s.th.,,,
رفع الدعم الحكومي,to cut subsidies,,,
أعلن الحرب على,to declare war on,,,
امتنع عن التعليق على,to decline to comment on,,,
انشق عن الجيش,to defect,,,
نزع فتيل القنبلة,to defuse a bomb,,,
تحدي حظر التجول,to defy curfew,,,
حرم شخصا من حق التصويت,to deprive s.o. of the right to vote,,,
خلق حالة من عدم الاستقرار في البلاد,to destabilize the country,,,
كرّس الحياة ل,to devote one's life to,,,
بحث الحاجة إلى,to discuss the need for,,,
نأى بنفسه عن,to distance oneself from,,,أنك نأيتَ بعيداً وراء السرب
خاض معركة مع,to do battle with,,,
بذل قُصار جهدنا,to do our utmost,,,
قلل من شأن,to downplay,,,
انتظر على لُهُف,to eagerly await,,,يوم عودته
خفّف من تشدده,to ease up,,,
درء خطر ال,to eliminate the risk of,,,
أقام علاقات دبلوماسية,to establish diplomatic relations,,,
مارس حقه في التصويت,to exercise one’s right to vote,,,
لعب على وتر,to exploit,,,- الطائفية- الدين
وصل إلى الأيدي الخطأ,to fall into the wrong hands,,,
رجّح شخصاً على,to favor so over,,,
شعر بالارتياح ل,to feel comfortable with,,,
شنّ حرباً على,to fight a war against,,,
كافح في سبيل,to fight for,,,الحريةالله
أطلق النار في الهواء,to fire into the air,,,
أطلق قنابل الغاز المسيل للدموع على,to fire tear gas at,,,
سامح سخصا في شيء,to forgive s.o. for s.th.,,,
رفع الإقامة الجبرية عن,to free s.o from house arrest,,,
أخذ فكرة عن,to get a sense of,,,
وضع يده على,to get his hands on,,,
بالغ في السكر,to get really drunk,,,
استقبل استقبال الأبطال,to give a hero's welcome,,,
أدلى بحديث ل,to give a speech to,,,
على سبيل المثال لا الحصر,"to give an example, but not to exclude other possibilities",,,
رد الجميل بالعطاء,to give back,,,عليك *
وفّر له مجالاً ل,to give him space to,,,
أتاح فرصة لشخص,to give so the opportunity,,,
أعطى الكلمة ل,to give the floor to,,,
أفسح الطريق لـ,to give way to,,,اللاتينية *  لللغات الأروبية
سعى وراء الذهبية,to go for the gold,,,
دخل حيّز التنفيذ,to go into effect,,,
تفضل بفعل شيء,to graciously do something,,,الذي تفضل بدفع تكاليف التشييد
تمّ بين عشية وضحاها,to happen overnight,,,
ضرب على نغمة,to harp on,,,
خلّد ذكرى شيء,to imortalize s.th.,,,
فرض عقوبات على,to impose sanctions on,,,
رفع مستوع التعاون,to increase collaboration,,,
أوحى لشخص ب,to inspire (so) to,,,
حرّض على شيء,to instigate s.th.,,,
الحفاظ على شيء من التَلَف,to keep s.th. undamaged,,,للحفاظ على الفواكه من التلف، عليك...
علِم عِلم اليقين,to know perfectly well,,,
شنّ هجوماً على,to launch an attack against,,,
أثمر عن تقدم,to lead to progress,,,المحدثات *.
أجلب المعرفة عن,to learn about,,,
ترك مجالا ل,to leave space for,,,
استمع بانصات ل,to listen carefully to,,,
عاش في وئام وسلام,to live in peace and harmony,,,
عاش على سمعته,to live up to one's reputation,,,
نظر إلى شخص من فوق,to look down on s.o.,,,
نظر على شخص في ريب,to look suspiciously at s.o.,,,
فقد الاتصال به,to lose contact with him,,,
فقدان البصلة مع,to lose course on,,,اسرائيل تتهم امريكا ب * مع إيران
فقد الثقة في نفسه,to lose one's self confidence,,,
أبقى الرقابة على,to maintain control of,,,
أخذ رزقه من,to make a living from,,,
عمل من الحبة قُبة,to make mountains out of molehills,,,
لعب دور الوساطة بين,to mediate,,,
قام بالوساطة بين,to mediate between,,,
تفضّل بالحديث عن,to mention,,,
أساء معاملة شخص,to mistreat s.o.,,,
السير إلى الأمام,to move forward,,,
كمم أفواه المعارضة,to muzzle the opposition,,,
فتح النيران على,to open fire on,,,فتحت قوات الأمن نيرانه على المتظاهرين
ذلّل كل الصِعاب,to overcome all obstacles,,,ذللت اللجنة كل الصعاب.
القيام بدوريات في الشوارع,to patrol the streets,,,
دفع ثمنا باهظا,to pay dearly,,,الاقتصاد *.
دفع ثمن جرائمهم,to pay for their crimes,,,
لتكريم هذا الإرث,to pay tribute to that legacy,,,
منع شخصا من السفر,to place a travel ban on s.o.,,,
فرض الإقامة الجبرية على,to place s.o. under house arrest,,,
نفى تهم الفساد التي نسبت إليه,to plead not guilty to corruption charges,,,
أثنى على شخص,to praise s.o.,,,(أثنى عليّ) المدرس في الفصل
هيّأ شيئا ل,to prepare s.th. for,,,
بدفع الحِرس على هذه المصداقية,to preserve this credibility,,,
من أجل حماية الوطن,to protect the country,,,
توفر الغطاء الجوي,to provide air cover,,,
ضغط على الزناد,to pull the trigger,,,
طرح شيئا للتصويت,to put s.th. to a vote,,,
وضع القضية في صلب أولياته,to put something at the top of one's priorities,,,
أقلع عن التدخين,to quit smoking,,,
الإقلاع عن التدخين,to quit smoking,,,
أعلى من سقف التوقعات,to raise expectations,,,مع الحرص على ألا نعلى من سقف التوقعات بهذا الخصوص
استئنف العلاقات الدبلوماسية,to re-establish/resume diplomatic relations,,,
وصل إلى حل وسط,to reach a compromise,,,
وصل إلى أهدافه في,to reach his goal of,,,
وصل إلى حده الأقصى,to reach its limit,,,الدين الامريكى (يصل الى حده الاقصى)
تلقّى تدريبا عسكريا,to receive military training,,,أحد المشتبه بهم * على يد
كبح جماح النخب,to reign in the elite,,,
رفض شيء شكلا ومضمونا,to reject s.th. flat out,,,بالتزامن مع رفض الشعب المصري للسياسة الأمريكية *
أفرج عن شخص,to release so,,,
احتاج إلى قدر من ال,to require some,,,
تراجع عن قرار,to rescind a decision,,,
رد على النار بالمثل,to return fire,,,
ضحّى من أجله كل شيء,to sacrifice everything for it,,,
أبحر ضد الرياح,to sail against the wind,,,
قال في نبرة حزينة,"to say, sadly",,,
حقّق انتصاراً هامّاً,to score a crucial victory,,,
انتزع السيطرة على,to seize control of,,,
استولى على السلطة,to seize power,,,
اغتنم الفرصة الحالية,to seize this opportunity,,,
توجيه رسالة بأن,to send a signal that,,,
أغدق الثناء على شخص,to shower s.o. in praise,,,
انزلق على قشر موز,to slip on a banana peel,,,
تكلم على الملأ,to speak publicly,,,
فتح خراطيم المياه على,to spray with water cannon,,,
وقف مكتوف الأيدي,to stand idly by,,,
مثل أمام القضاء,to stand trial,,,
كان رابط الجأش,"to stay composed,to keep it together",,,كان وحده رابط الجأش
حشر أنفهم في,to stick their noses in,,,الشؤون الداخلية
شدّد على ضرورة,to stress the need for,,,
وجّه ضربة ل,to strike,,,
أمسك العصا من النصف,to strike a balance,,,
عانى وعكة صحية,to suffer from poor health,,,كان الملك (يعاني وعكة صحية) في الأسابيع الاخيرة
سحب نفسا عميقا,to take a deep breath,,,
ألقى نظرة إلى شيء,to take a look at s.th.,,,
تبنى وجهة نظر,to take a position,,,
أخذ في عين الاعتبار,to take into consideration,,,
أخذه مأخذ الجد,to take it seriously,,,
لأخذ التدابير الملائمة,to take proper measures,,,
حل مكان شخص,to take s.o.'s place,,,
أخذ شيئا عنوة,to take s.th. by force,,,أريد أن (آخذ) حقي من الحياة (عنوة)
أخذ شيء على محمل الجد,to take s.th. seriously,,,هذا الخطاب
حلف اليمين الدستورية,to take the constitutional oath,,,
خطا الجطوة الأولى في هذا الاتجاه,to take the first step in this direction,,,
استثمار الفرصة ل,to take the opportunity to,,,
باح لمخلوق ب,to tell a soul,,,أريدك أن تعدني بشرفك أنك (لن تبوح لمخلوق) بشيء مما سأحدثك به الليلة.
أفضى بسر إلى شخص,to tell s.o. a secret,,,عندي سر أريد أن أُفضي به إليك.
ألقى شيئا في النفايات,to throw s.th. away,,,
ضيق الخناق على,to tighten the grip on,,,
نقل السلطة إلى,to transfer power to,,,
ألقى عناء في,to trouble o.s. to,,,في تعليمها
صرف النظر عن,to turn a blind eye to,,,
أفرج عن مساعدات,to unblock aid,,,أفرجد الولايات المتحدة عن أكثر مساعدات عسكرية مجمدة
كشف النقاب عن,to unveil,,,
اضطلع مسؤوليته في,to uphold its responsibility to,,,نطالب مجلس الأمن أن * حفظ السلام
اجتث شيئا من جذوره,to uproot s.th.,,,لم (نجتث) هذا الداء (من جذوره)
ارتكب مخالفة ل,to violate,,,
حل ضيفا على,to visit,,,حل) الملكي المدريدي (ضيفا على) برشلونة)
صوت ضد شخص,to vote against s.o.,,,
صوت مادة بمادة,to vote article by article,,,
صوت لصالح شخص,to vote for s.o.,,,
صوّت على شيء بعدم الموافقة,to vote s.th. down,,,
صوّت على شيء بالموافقة,to votes s.th. through,,,
رفع الحصانة عن,to waive s.o.'s immunity,,,
نسف جهود السلام,to waste peace efforts,,,
رحّب بشخص في مكان,to welcome s.o. to s.wh.,,,
فاز بهدف نظيف,to win 1-0,,,
تتمنى لشخص الشفاء العاجل,to wish someone a speedy recovery,,,
عمل على نحو وثيق مع,to work closely with,,,
عمل بلا توقف,to work nonstop,,,
في أيامنا هذه,today,,,
ظفر إصبع القدم,toenail,,,
وسط مدينة طوكيو,Tokyo proper,,,
هذا مؤسف جدا,too bad,,,
زيادة عن اللزوم,too much,,,أصبح يثق في نفسه *.He became too confident
مهما كنت قويا,tough as you may be,,,
عاد الهدوء إلى,tranquility has returned to,,,
حامل ثلاثي القوائم,tripod,,,
تسليم السلطة ل,turning power over to,,,المجلس الأعلي للقوات المسلحة
قبل يومين على,two days before,,,عيد الأضحى
في نهاية المطاف,ultimately,,,
حافظ السلام التابع للأمم المتحدة,UN Peacekeeper,حفظة السلام التابعون للأمم المتحدة,UN Peacekeepers,
قرار الأمم المتحدّة,UN resolution,,,
غير محدد المعالم,undefined,,,
تحت أي اعتبار,under any circumstances,,,
تحت إمرة شخص,under s.o.'s authority,,,تحت إمرة أسرة تشين
دون الثلاثين من عمره,under the age of 30,,,
برعاية الولايات المتحدة,under the auspicies of the US,,,ما نقيمه اليوم مع إسرائيل و
تقويض العملية الديمقراطية,undermining the democratic process,,,يهدِف إلى * وتدمير الاقتصاد
عاطل عن العمل,unemployed,العاطلون عن العمل,the unemployed,
ظروف غير مواتية,unfavorable conditions,,,
ظروف غير مؤاتية,unfavorable situation,,,
مع الأسف الشديد,unfortunately,,,
عمل غير ودي,unfriendly act,,,
إجراءات أحادية الجانب,unilateral measures,,,
خيال لا يقبله عقل!,Unimaginable!,,,
الإمارات العربية المتحدة,United Arab Emirates,,,
حرمان من العدالة,unjust treatment,,,
بدون وجه حق,unjustly,,,اعتقل الكثير من الثوار
لم يسبِق له مثيل,unprecedented,,,
الجنس غير المأمون,unsafe sex,,,
العمالة الماهرة وغير الماهرة,unskilled and semiskilled workers,,,
حتى إشعار آخر,until further notice,,,
إلا بعد أن فات الأوان,until it's too late,,,
حتى مثول الجريدة للطبع,until the paper went to press,,,الاجتماع الذى استمر * شارك فيه عدد من شباب الأحزاب
إلى حين ذلك,until then,,,
عارٍ من الصحّة,untrue,,,
على غير العادة,unusually,,,بدا صوته متعبا *
حمل غير مرغوب فيه,unwanted pregnancy,,,
إجراءات عاجزة وحازمة,urgent and decisive measures,,,
توظيف مواهبهم وخبراتهم ل,using their skills and experience,,,للمساعدة
التهاب المسالك البولية,UTI,,,
الأشعة فوق البنفسجية,UV light,,,
التطور هو سنة الحياة,variety is the spice of life,,,
في حالة سكر شديد,very drunk,,,
خلال مدة وجيزة,very quickly,,,
من عاش حياة العبيد,victim of human trafficking,,,
سياسة الانتظار والترقب,wait and see policy,,,
مدينة محاطة بالأسوار,walled city,,,
كان يعد شيطانا,was considered the devil,,,
انعكس في تصريحاته,was reflected in his statements,,,
لم يأتي بجديد,wasn't anything new,,,تقريره
خمسة أيام تفصلنا عن,we are 5 days away from,,,
إننا عازمين على,we are determined to,,,
إننا مباركون للغاية بأن,we are extremely blessed to,,,نكون أميركيين
نحن نتطلع إلى المستقبل,we are looking forward,,,
نحن لسنا وحدَنا,we are not alone,,,
نصلي من أجل الموتى,we are praying for the dead,,,
نتعاون مع الشركاء ل,we are working with partners to,,,
نتجرأ على سؤال,we dare to ask,,,لأننا * ماذا يمكننا أن نفعل
لا نريد ... بعد الآن,we do not want to ... any longer,,,أن نكون جزءا من هذه اللجنة
لسنا بحاجة إلى,We don’t need,,,أزمات مصطنعة
تسنّت لنا فرصة,we had a chance to,,,
كدنا نصل إلى حلول لكل شيء,we had almost solved all our problems,,,
لم يعد هناك وقت نضيّعه,we have no more time to waste,,,
يتوفر لنا الفرصة,we have the opportunity,,,
الوصول لحالة من الثقة مع,we have won the trust of,,,
نحن لم نكد نلتقي,we just met,,,
يجب أن نعلي من أنفسنا,we must rise above,,,
نواصل مد إيدينا إلى,we reach out to,,,الإسرائيليين ونقول
ندرك ارتباط أمننا لأمن دول الجوار,we realize that our security is linked to that of our neighbors,,,
